timestamp,asset,direction,entry_price,exit_price,pnl_usd,pnl_pct,exit_reason,confidence,sl_progression
2026-04-01T00:09:55Z,BTC,LONG,69448.0,64972.2,-4475.8,-6.4448,Hard stop -2%,0.98,L1
2026-04-01T00:23:07Z,BTC,LONG,68580.0,64972.2,-3607.8,-5.2607,Hard stop -2%,0.98,L1
2026-04-01T00:23:07Z,BTC,LONG,68580.0,64972.2,-3607.8,-5.2607,Hard stop -2%,0.98,L1
2026-04-01T00:37:24Z,ETH,LONG,2110.45,2024.8,-85.65,-4.0584,Hard stop -2%,0.93,L1
2026-04-01T00:41:39Z,BTC,LONG,68048.9,64972.2,-3076.7,-4.5213,Hard stop -2%,0.95,L1
2026-04-01T00:51:31Z,BTC,LONG,68048.9,68486.2,437.3,0.6426,"SL L1 hit (candle close $64,972.20)",0.98,L1
2026-04-01T00:58:11Z,BTC,LONG,69448.0,64972.2,-4475.8,-6.4448,Hard stop -2%,0.95,L1
2026-04-01T01:01:38Z,BTC,LONG,68482.8,64972.2,-3510.6,-5.1263,Hard stop -2%,0.99,L1
2026-04-01T01:01:39Z,BTC,LONG,68482.8,64972.2,-3510.6,-5.1263,Hard stop -2%,0.95,L1
2026-04-01T01:27:24Z,BTC,LONG,68000.0,64972.2,-3027.8,-4.4526,Hard stop -2%,0.98,L1
2026-04-01T01:39:45Z,BTC,LONG,67982.4,64972.2,-3010.2,-4.4279,Hard stop -2%,0.95,L1->L2
2026-04-01T01:52:08Z,BTC,LONG,69447.0,64972.2,-4474.8,-6.4435,Hard stop -2%,0.98,L1
2026-04-01T02:11:48Z,BTC,LONG,67959.0,64972.2,-2986.8,-4.395,Hard stop -2%,0.98,L1
2026-04-01T02:22:18Z,BTC,LONG,69447.0,68050.0,-1397.0,-2.0116,Hard stop -2%,0.97,L1
2026-04-01T02:26:43Z,BTC,LONG,67927.0,64972.2,-2954.8,-4.35,Hard stop -2%,0.95,L1
2026-04-01T02:36:30Z,BTC,LONG,67750.4,64972.2,-2778.2,-4.1006,Hard stop -2%,0.98,L1
2026-04-01T02:46:46Z,BTC,LONG,67982.6,64972.2,-3010.4,-4.4282,Hard stop -2%,0.95,L1
2026-04-01T02:56:43Z,BTC,LONG,67982.6,64972.3,-3010.3,-4.428,Hard stop -2%,0.99,L1->L2
2026-04-01T03:01:33Z,BTC,LONG,69447.0,64974.3,-4472.7,-6.4405,Hard stop -2%,0.98,L1
2026-04-01T03:07:25Z,BTC,LONG,69447.0,67948.0,-1499.0,-2.1585,Hard stop -2%,0.98,L1
2026-04-01T13:46:22Z,ETH,LONG,2135.05,2114.4,-20.65,-0.9672,"SL L1 hit (candle close $2,115.20)",0.98,L1
2026-04-01T14:29:22Z,ETH,LONG,29604.55,29024.07,-46.44,-1.9608,"SL L50 hit (candle close $29,024.07)",0,L1->L2->L3->L4->L5->L6->L7->L8->L9->L10->L11->L12->L13->L14->L15->L16->L17->L18->L19->L20->L21->L22->L23->L24->L25->L26->L27->L28->L29->L30->L31->L32->L33->L34->L35->L36->L37->L38->L39->L40->L41->L42->L43->L44->L45->L46->L47->L48->L49->L50
2026-04-01T14:30:24Z,BTC,LONG,1517609.71666667,959459.0,-6697.81,-36.7783,Hard stop -2%,0,L1
2026-04-01T14:41:42Z,BTC,LONG,1517609.71666667,934513.4,-6997.16,-38.422,Hard stop -2%,0,L1
2026-04-01T15:02:33Z,BTC,LONG,1517609.71666667,886472.3,-7573.65,-41.5876,Hard stop -2%,0,L1
2026-04-01T15:09:32Z,BTC,LONG,1517609.71666667,886472.3,-7573.65,-41.5876,Hard stop -2%,0,L1
2026-04-01T15:56:36Z,BTC,LONG,1213351.2,1223297.3,9.95,0.8197,"SL L2 hit (candle close $1,201,337.90)",0,L1->L2
2026-04-01T15:57:59Z,BTC,LONG,1213351.2,1223297.3,9.95,0.8197,"SL L2 hit (candle close $1,201,337.90)",0,L1->L2
2026-04-01T17:03:05Z,ETH,LONG,2122.4,2150.95,28.55,1.3452,"SL L3 hit (candle close $2,144.95)",0.95,L1->L2->L3
2026-04-01T17:25:31Z,BTC,LONG,1618822.2,1564764.7,-54.06,-3.3393,Hard stop -2%,0.99,L1
2026-04-01T17:31:16Z,ETH,LONG,2158.65,2140.85,-17.8,-0.8246,"SL L1 hit (candle close $2,139.40)",0.98,L1
2026-04-01T19:01:12Z,BTC,LONG,68270.6,68084.7,-185.9,-0.2723,"SL L1 hit (candle close $68,039.00)",0.98,L1
